,Município,Internações,AIH_aprovadas,Valor_total,Valor_serviços_hospitalares,Val_serv_hosp_-_compl_federal,Val_serv_hosp_-_compl_gestor,Valor_serviços_profissionais,Val_serv_prof_-_compl_federal,Val_serv_prof_-_compl_gestor,Valor_médio_AIH,Valor_médio_intern,Dias_permanência,Média_permanência,Óbitos,Taxa_mortalidade,data,NM_LOCALIDADE,LAT,LONG,ALT
80,150405 Mãe do Rio,5,5,2467.95,2339.4,0.0,0.0,128.55,0.0,0,493.59,493.59,14,2.8,0,0.0,2018-01-01 00:01:00,MÃE DO RIO,-2.04770744079076,-47.5522901794773,41.375185
81,150442 Marituba,2,2,1030.38,978.96,0.0,0.0,51.42,0.0,0,515.19,515.19,9,4.5,0,0.0,2018-01-01 00:01:00,MARITUBA,-1.3464172655758,-48.340535877783,14.164564
82,150445 Medicilândia,2,2,982.38,930.96,0.0,0.0,51.42,0.0,0,491.19,491.19,3,1.5,0,0.0,2018-01-01 00:01:00,MEDICILÂNDIA,-3.44541741218688,-52.8883453507243,128.521265
83,150460 Mocajuba,20,20,10047.8,9533.6,0.0,0.0,514.2,0.0,0,502.39,502.39,59,3.0,0,0.0,2018-01-01 00:01:00,MOCAJUBA,-2.58287297327153,-49.5090234612729,14.514668
84,150480 Monte Alegre,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,MONTE ALEGRE,-2.003328,-54.073374725636,67.366476
85,150480 Monte Alegre,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,MONTE ALEGRE,-6.06787662410822,-35.3320992692543,55.782666
86,150480 Monte Alegre,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,MONTE ALEGRE,-11.2697993709396,-38.5359111655434,160.577934
87,150490 Muaná,2,2,542.46,505.13,0.0,0.0,37.33,0.0,0,271.23,271.23,3,1.5,0,0.0,2018-01-01 00:01:00,MUANÁ,-1.5300262083549,-49.2168324424737,6.205626
88,150495 Nova Esperança do Piriá,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,2,1.0,0,0.0,2018-01-01 00:01:00,NOVA ESPERANÇA DO PIRIÁ,-2.2676259890313,-46.9620928836736,72.106754
89,150510 Óbidos,2,2,974.38,922.96,0.0,0.0,51.42,0.0,0,487.19,487.19,5,2.5,0,0.0,2018-01-01 00:01:00,ÓBIDOS,-1.90923549588121,-55.5163235097126,29.793842
90,150543 Ourilândia do Norte,14,14,6780.66,6420.72,0.0,0.0,359.94,0.0,0,484.33,484.33,31,2.2,0,0.0,2018-01-01 00:01:00,OURILÂNDIA DO NORTE,-6.74061708637736,-51.0908327746816,322.442251
91,150548 Pacajá,5,5,2475.95,2347.4,0.0,0.0,128.55,0.0,0,495.19,495.19,10,2.0,0,0.0,2018-01-01 00:01:00,PACAJÁ,-3.8303057037573,-50.6348408304298,71.0
92,150550 Paragominas,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-01-01 00:01:00,PARAGOMINAS,-2.9941905,-47.3569615610519,88.343788
93,150563 Piçarra,2,2,958.38,906.96,0.0,0.0,51.42,0.0,0,479.19,479.19,4,2.0,0,0.0,2018-01-01 00:01:00,PIÇARRA,-6.45367623455792,-48.8684006672187,191.927264
94,150565 Placas,2,2,990.38,938.96,0.0,0.0,51.42,0.0,0,495.19,495.19,4,2.0,0,0.0,2018-01-01 00:01:00,PLACAS,-3.86731556213536,-54.2169681312654,107.337623
95,150570 Ponta de Pedras,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,PONTA DE PEDRAS,-1.3965999975235,-48.8717855600433,4.199593
96,150590 Porto de Moz,2,2,686.52,631.6,0.0,0.0,54.92,0.0,0,343.26,343.26,5,2.5,0,0.0,2018-01-01 00:01:00,PORTO DE MOZ,-1.74609008880885,-52.2424769190201,12.672152
97,150616 Rio Maria,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,3,3.0,0,0.0,2018-01-01 00:01:00,RIO MARIA,-7.31111524468815,-50.0464108775224,199.645647
98,150618 Rondon do Pará,8,8,3881.52,3675.84,0.0,0.0,205.68,0.0,0,485.19,485.19,17,2.1,0,0.0,2018-01-01 00:01:00,RONDON DO PARÁ,-4.77782172703555,-48.0699737493982,192.542076
99,150619 Rurópolis,2,2,1061.61,957.55,0.0,0.0,104.06,0.0,0,530.8,530.8,6,3.0,0,0.0,2018-01-01 00:01:00,RURÓPOLIS,-4.09906539,-54.9058622598691,144.182125
100,150660 Santa Maria do Pará,2,2,115.49,92.99,0.0,0.0,22.5,0.0,0,57.75,57.75,3,1.5,0,0.0,2018-01-01 00:01:00,SANTA MARIA DO PARÁ,-1.3478664592967,-47.5746954138091,54.948229
101,150700 Santo Antônio do Tauá,34,34,16644.46,15770.32,0.0,0.0,874.14,0.0,0,489.54,489.54,103,3.0,0,0.0,2018-01-01 00:01:00,SANTO ANTÔNIO DO TAUÁ,-1.1516925,-48.1324330748457,23.946605
102,150715 São Domingos do Araguaia,6,6,2875.14,2720.88,0.0,0.0,154.26,0.0,0,479.19,479.19,14,2.3,0,0.0,2018-01-01 00:01:00,SÃO DOMINGOS DO ARAGUAIA,-5.549841,-48.7203734107844,141.567835
103,150730 São Félix do Xingu,2,2,982.38,930.96,0.0,0.0,51.42,0.0,0,491.19,491.19,3,1.5,0,0.0,2018-01-01 00:01:00,SÃO FÉLIX DO XINGU,-6.64248327834078,-51.9937825239643,192.412806
104,150745 São Geraldo do Araguaia,1,1,487.19,461.48,0.0,0.0,25.71,0.0,0,487.19,487.19,1,1.0,0,0.0,2018-01-01 00:01:00,SÃO GERALDO DO ARAGUAIA,-6.39895797,-48.5557124861926,127.325684
105,150750 São João do Araguaia,4,4,1916.76,1813.92,0.0,0.0,102.84,0.0,0,479.19,479.19,10,2.5,0,0.0,2018-01-01 00:01:00,SÃO JOÃO DO ARAGUAIA,-5.35900272441641,-48.7886334020461,100.552859
106,150760 São Miguel do Guamá,1,1,495.19,469.48,0.0,0.0,25.71,0.0,0,495.19,495.19,2,2.0,0,0.0,2018-01-01 00:01:00,SÃO MIGUEL DO GUAMÁ,-1.61713591449048,-47.4824089444892,12.146203
107,150790 Soure,1,1,479.19,453.48,0.0,0.0,25.71,0.0,0,479.19,479.19,2,2.0,0,0.0,2018-01-01 00:01:00,SOURE,-0.7259255,-48.5160126622773,15.888703
108,150795 Tailândia,2,2,966.38,914.96,0.0,0.0,51.42,0.0,0,483.19,483.19,5,2.5,0,0.0,2018-01-01 00:01:00,TAILÂNDIA,-2.9370795,-48.9512816295758,52.194732
109,150800 Tomé-Açu,1,1,606.42,528.07,0.0,0.0,78.35,0.0,0,606.42,606.42,3,3.0,0,0.0,2018-01-01 00:01:00,TOMÉ-AÇU,-2.41936685526733,-48.146896586572,15.20066
110,150803 Tracuateua,8,8,3969.52,3763.84,0.0,0.0,205.68,0.0,0,496.19,496.19,17,2.1,0,0.0,2018-01-01 00:01:00,TRACUATEUA,-1.06878405856835,-46.8994783371171,32.912548
111,150808 Tucumã,19,19,9677.79,9136.66,0.0,0.0,541.13,0.0,0,509.36,509.36,54,2.8,0,0.0,2018-01-01 00:01:00,TUCUMÃ,-6.74997200738229,-51.1395392466358,298.984349
112,150812 Ulianópolis,17,17,8442.23,8005.16,0.0,0.0,437.07,0.0,0,496.6,496.6,37,2.2,0,0.0,2018-01-01 00:01:00,ULIANÓPOLIS,-3.75719301,-47.5031447549992,123.904014
113,150815 Uruará,19,19,10053.54,8895.63,0.0,0.0,1157.91,0.0,0,529.13,529.13,42,2.2,0,0.0,2018-01-01 00:01:00,URUARÁ,-3.7065285,-53.7370310504594,162.216302
114,150820 Vigia,3,3,1453.57,1376.44,0.0,0.0,77.13,0.0,0,484.52,484.52,5,1.7,0,0.0,2018-01-01 00:01:00,VIGIA,-0.855532573667763,-48.1414985852069,7.545379
115,150830 Viseu,5,5,2459.95,2331.4,0.0,0.0,128.55,0.0,0,491.99,491.99,10,2.0,0,0.0,2018-01-01 00:01:00,VISEU,-1.20327852667727,-46.1387652161496,7.618306
